DATE,COUNT
2023-11-07,53
2023-11-08,52
2023-11-09,87
2023-11-10,82
2023-11-11,122
2023-11-12,81
2023-11-13,63
2023-11-14,67
2023-11-15,101
2023-11-16,65
2023-11-17,87
2023-11-18,101
2023-11-19,122
2023-11-20,48
2023-11-21,64
2023-11-22,48
2023-11-23,41
2023-11-24,67
2023-11-25,77
2023-11-26,98
2023-11-27,51
2023-11-28,38
2023-11-29,28
2023-11-30,82
2023-12-01,127
2023-12-02,88
2023-12-03,87
2023-12-04,53
2023-12-05,43
2023-12-06,51
2023-12-07,56
2023-12-08,78
2023-12-09,88
2023-12-10,110
2023-12-11,43
2023-12-12,27
2023-12-13,43
2023-12-14,54
2023-12-15,8
2023-12-16,73
2023-12-17,82
2023-12-18,60
2023-12-19,36
2023-12-20,76
2023-12-21,75
2023-12-22,77
2023-12-23,110
2023-12-24,73
2023-12-25,0
2023-12-26,54
2023-12-27,19
2023-12-28,62
2023-12-29,91
2023-12-30,87
2023-12-31,63
